Seconds,Kitchen_AP,Lounge_AP,Upstairs_AP,Study_AP
945,-64.6,,-93,-105
946,-63.4,,-93,-105
947,-64,,-95,-105
948,-67.8,,-95.4,-105
949,-73.6,,-84.2,-105
950,-73.2,,-75.8,-97.2
951,-81.2,,-77.2,-93.4
952,-85.6,,-88.4,-92.2
953,-91.4,,-83,-88
954,-84.2,,-82.6,-78.4
955,-88.4,,-77.2,-77
956,-88,,-73.6,-80.8
957,-89.5,,-72.7,-87.95
958,-90.35,,-71.95,-92.1
959,-83.7,,-71.8,-89.45
960,-89.85,,-69.35,-86.35
961,-97.7,,-68.65,-95.1
962,-104,,-65,-93.4
963,-104,,-62.4,-96.6
964,-104,,-67,-98.8
965,-104,,-66.75,-97.15
966,-104,,-68.7,-96.45
967,-104,,-74.05,-101.55
968,-104,,-72.4,-96.6
969,-104,,-71.3,-102.95
970,-104,,-75.8,-104
971,-104,,-83.25,-104
972,-104,,-88.65,-104
973,-104,,-81,-104
974,-104,,-79.35,-104
975,-104,,-81.1,-104
976,-104,,-78.5,-104
977,-104,,-84.75,-104
978,-104,,-89.05,-104
979,-104,,-88.3,-104
980,-104,,-86.65,-104
981,-104,,-90.8,-104
982,-104,,-88.35,-103.55
983,-104,,-88.3,-103
984,-104,,-79.25,-103
985,-104,,-84.1,-103
986,-104,,-81.4,-103
987,-104,,-77.65,-103
988,-104,,-82.9,-103
989,-104,,-96,-103
990,-104,,-92.15,-103
991,-104,,-92.95,-103
992,-104,,-93.7,-103
993,-104,,-92.85,-103
994,-104,,-87.35,-103
995,-104,,-81.35,-103
996,-104,,-82.95,-100.4
997,-104,,-81.2,-99
998,-104,,-83.25,-99
999,-104,,-81,-99
1000,-104,,-81,-99
1001,-104,,-80.6,-99
1002,-104,,-80.7,-99
1003,-104,,-84.1,-100.95
1004,-104,,-80,-102
1005,-104,,-79.75,-102
1006,-104,,-80.4,-102
1007,-104,,-83.2,-102
1008,-104,,-83.4,-102
1009,-104,,-85.1,-102
1010,-104,,-85.1,-102
1011,-104,,-84.8,-102
1012,-104,,-86.1,-102
1013,-104,,-82.8,-101.45
1014,-104,,-86.25,-98.8
1015,-104,,-87,-99.65
1016,-104,,-87.5,-98.55
1017,-104,,-86.35,-100.35
1018,-104,,-82.9,-100.7
1019,-104,,-84.1,-101.3
1020,-104,,-86.65,-102
1021,-104,,-87.75,-102
1022,-104,,-89.25,-102
1023,-104,,-80.2,-101.9
1024,-104,,-84.4,-100
1025,-104,,-82,-100
1026,-104,,-85.25,-102.6
1027,-104,,-87.95,-104
1028,-104,,-87.45,-104
1029,-104,,-84.3,-104
1030,-104,,-84.45,-104
1031,-104,,-85.35,-104
1032,-104,,-85.5,-104
1033,-104,,-85.6,-104
1034,-104,,-85.4,-104
1035,-104,,-79.7,-104
1036,-104,,-87.2,-104
1037,-104,,-87.5,-104
1038,-104,,-88.7,-104
1039,-104,,-88.5,-104
1040,-104,,-88.5,-104
1041,-104,,-91,-104
1042,-104,,-81.5,-104
1043,-104,,-85.1,-104
1044,-104,,-84.7,-104
1045,-104,,-85.5,-104
1046,-104,,-85.2,-104
1047,-104,,-86.65,-104
1048,-104,,-85.6,-104
1049,-104,,-86.4,-104
1050,-104,,-88.2,-104
1051,-104,,-83.4,-104
1052,-104,,-84.4,-102.8
1053,-104,,-80.4,-102
1054,-104,,-82.8,-103.2
1055,-104,,-81.4,-103.8
1056,-104,,-79.2,-102
1057,-104,,-80.4,-100
1058,-104,,-79.8,-100
1059,-104,,-80.6,-100
1060,-104,,-84.2,-101.6
1061,-104,,-81.8,-102
1062,-104,,-83.25,-99.2
1063,-104,,-79.95,-102
1064,-104,,-81.8,-102
1065,-104,,-81,-102
1066,-104,,-83,-102
1067,-104,,-86.1,-101.2
1068,-104,,-82.6,-96.5
1069,-104,,-84.9,-97.7
1070,-104,,-81,-96
1071,-104,,-84.4,-96
1072,-104,,-81.25,-97.9
1073,-104,,-81.65,-98
1074,-104,,-83,-98
1075,-104,,-83.4,-103.6
1076,-104,,-84.2,-98.4
1077,-104,,-89.6,-96.4
1078,-104,,-82.8,-99.2
1079,-104,,-82,-104
1080,-104,,-83.2,-104
1081,-104,,-86.8,-104
1082,-104,,-88.6,-104
1083,-104,,-89.6,-104
1084,-104,,-86,-104
1085,-104,,-84.6,-104
1086,-104,,-87.2,-104
1087,-104,,-86.2,-104
1088,-104,,-86.6,-104
1089,-104,,-87,-104
1090,-104,,-82,-104
1091,-104,,-85.4,-104
1092,-104,,-83.2,-104
1093,-104,,-82.8,-104
1094,-104,,-81.8,-104
1095,-104,,-86,-104
1096,-104,,-81.4,-104
1097,-104,,-84,-104
1098,-104,,-82.75,-104
1099,-104,,-82.9,-104
1100,-104,,-81.8,-104
1101,-104,,-82.2,-104
1102,-104,,-83.7,-104
1103,-104,,-84.8,-104
1104,-104,,-83.45,-104
1105,-104,,-85.65,-104
1106,-104,,-85.65,-104
1107,-104,,-83.55,-104
1108,-104,,-80.95,-104.45
1109,-104,,-81.2,-105
1110,-104,,-83.25,-103.4
1111,-104,,-86.3,-97.65
1112,-104,,-87.6,-98
1113,-104,,-85.2,-98.45
1114,-104,,-84.55,-99
1115,-104,,-80.8,-99.75
1116,-104,,-84.65,-100.05
1117,-104,,-80.95,-98.95
1118,-104,,-80.3,-94
1119,-104,,-80,-94
1120,-104,,-84.3,-93.7
1121,-104,,-82.5,-91.7
1122,-104,,-84,-93.7
1123,-104,,-83.9,-91.1
1124,-104,,-85.3,-95.4
1125,-104,,-84.1,-101.5
1126,-104,,-88.5,-103
1127,-104,,-85.7,-103
1128,-104,,-85.5,-103
1129,-104,,-84,-103
1130,-104,,-85.7,-103
1131,-104,,-86.5,-102.4
1132,-104,,-86.3,-102.3
1133,-104,,-84,-97.1
1134,-104,,-85.8,-95
1135,-104,,-84.2,-102.2
1136,-104,,-83.9,-100
1137,-104,,-91.5,-99
1138,-104,,-88.6,-99
1139,-104,,-89.4,-99
1140,-104,,-89.4,-99
1141,-104,,-88.1,-99
1142,-104,,-84.4,-99
1143,-104,,-84.2,-99
1144,-104,,-84.6,-99
1145,-104,,-84.8,-99
1146,-104,,-82.9,-99
1147,-104,,-86.9,-99
1148,-104,,-90.4,-99
1149,-104,,-90.1,-99
1150,-104,,-90,-99
1151,-104,,-82.8,-99
1152,-104,,-84.5,-99
1153,-104,,-84,-99
1154,-104,,-85,-99
1155,-104,,-84,-99
1156,-104,,-85.2,-99
1157,-104,,-85.1,-99
1158,-104,,-87.3,-99
1159,-104,,-88.7,-99
1160,-104,,-88.1,-99
1161,-104,,-91.2,-99
1162,-104,,-84,-99
1163,-104,,-79.7,-99.9
1164,-104,,-84.1,-102
1165,-104,,-83.4,-102
1166,-104,,-82.8,-102
1167,-104,,-82.5,-102
1168,-104,,-82.1,-102
1169,-104,,-81.5,-102
1170,-104,,-81.7,-102
1171,-104,,-85.4,-102.3
1172,-104,,-81.2,-100.7
1173,-104,,-81.5,-102
1174,-104,,-80,-95
1175,-104,,-81.3,-96.6
1176,-104,,-82.4,-96.4
1177,-104,,-82,-96
1178,-104,,-83.6,-96
1179,-104,,-83.6,-96
1180,-104,,-84.5,-96
1181,-104,,-84.2,-96.6
1182,-104,,-83.5,-101.7
1183,-104,,-83.4,-102
1184,-104,,-83.4,-105
1185,-104,,-84.7,-105
1186,-104,,-85.3,-105
1187,-104,,-86,-104.2
1188,-104,,-83.4,-95.3
1189,-104,,-84.6,-101.2
1190,-104,,-83.7,-99.3
1191,-104,,-80.7,-99
1192,-104,,-90.7,-100
1193,-104,,-92.1,-101
1194,-104,,-95.9,-101
1195,-104,,-95.3,-101
1196,-104,,-94,-101
1197,-104,,-88.9,-101
1198,-104,,-85.2,-101
1199,-104,,-83.7,-101
1200,-104,,-84,-101
1201,-104,,-83.8,-101
1202,-104,,-83.8,-101
1203,-104,,-82.45,-101
1204,-104,,-85.1,-101
1205,-104,,-85.9,-101
1206,-104,,-86.05,-101
1207,-104,,-82.75,-101
1208,-104,,-84.8,-101
1209,-104,,-86.6,-101
1210,-104,,-86.25,-101
1211,-104,,-87.1,-101
1212,-104,,-86.5,-101
1213,-104,,-85.85,-101
1214,-104,,-87.45,-101
1215,-104,,-85,-101
1216,-104,,-84,-101
1217,-104,,-83.6,-101
1218,-104,,-84,-101
1219,-104,,-83.4,-101
1220,-104,,-85.15,-101
1221,-104,,-78.9,-100.25
1222,-104,,-85.4,-100
1223,-104,,-91,-96.4
1224,-104,,-88.6,-101.8
1225,-104,,-87.6,-103
1226,-104,,-79.2,-103
1227,-104,,-82,-103
1228,-104,,-81.8,-99
1229,-104,,-82,-98
1230,-104,,-85.8,-98
1231,-104,,-82,-96
1232,-104,,-81.6,-97
1233,-104,,-81.6,-99.6
1234,-104,,-82.4,-102
1235,-104,,-81.4,-100.6
1236,-104,,-85.6,-99
1237,-104,,-82.8,-99
1238,-104,,-89.8,-99
1239,-104,,-84.6,-99
1240,-104,,-82.4,-98.4
1241,-104,,-80.2,-98.8
1242,-104,,-79.2,-102
1243,-104,,-86.8,-99
1244,-104,,-83.6,-99
1245,-104,,-80.2,-102.2
1246,-104,,-89.2,-101.8
1247,-104,,-94.6,-97
1248,-104,,-95,-97.8
1249,-104,,-94.6,-98.6
1250,-104,,-88,-99
1251,-104,,-83.4,-99
1252,-104,,-83.2,-99
1253,-104,,-83.6,-99
1254,-104,,-83.4,-99
1255,-104,,-84.6,-99
1256,-104,,-83.4,-99
1257,-104,,-80,-99
1258,-104,,-86,-99
1259,-104,,-85,-99
1260,-104,,-86.2,-99
1261,-104,,-87.2,-99
1262,-104,,-82.4,-99
1263,-104,,-84.8,-99
1264,-104,,-84.8,-99
1265,-104,,-85.2,-99
1266,-104,,-85.2,-99
1267,-104,,-85.6,-99
1268,-104,,-85.4,-100
1269,-104,,-84.2,-104
1270,-104,,-84.6,-104
1271,-104,,-80.8,-104
1272,-104,,-80,-104
1273,-104,,-84.8,-104
1274,-104,,-80.4,-103
1275,-104,,-80.8,-99
1276,-104,,-84,-99
1277,-104,,-84.2,-99
1278,-104,,-84,-99
1279,-104,,-84,-99
1280,-104,,-84,-99
1281,-104,,-84,-99
1282,-104,,-85,-101.4
1283,-104,,-84.8,-104
1284,-104,,-81,-104
1285,-104,,-80.8,-104
1286,-104,,-78.8,-104
1287,-104,,-75,-104
1288,-104,,-79.6,-104
1289,-104,,-77.6,-104
1290,-104,,-69.8,-104
1291,-104,,-71,-104
1292,-104,,-73.6,-104
1293,-104,,-72.6,-104
1294,-104,,-67.4,-104
1295,-104,,-67.2,-104
1296,-104,,-67.2,-104
1297,-104,,-63.2,-104
1298,-104,,-66.2,-100.4
1299,-104,,-65.6,-95
1300,-104,,-67.8,-95
1301,-104,,-67.6,-95
1302,-104,,-72.2,-95
1303,-104,,-81,-95
1304,-104,,-81,-95
1305,-104,,-77.4,-95
1306,-104,,-81.8,-95
1307,-104,,-82.8,-95
1308,-104,,-82.35,-95
1309,-104,,-74.85,-95
1310,-104,,-70.3,-95
1311,-104,,-66.8,-95
1312,-104,,-67.6,-95
1313,-104,,-68,-95
1314,-104,,-68,-95
1315,-104,,-68,-95
1316,-104,,-68,-95
1317,-104,,-68.2,-95
1318,-104,,-68,-95
1319,-104,,-68,-95
1320,-104,,-68,-95
1321,-104,,-68.2,-95
1322,-104,,-67.3,-95
1323,-104,,-75.45,-95
1324,-104,,-80.3,-95
1325,-104,,-81.8,-95
1326,-104,,-74.05,-95
1327,-104,,-71.1,-95
1328,-104,,-71.35,-95
1329,-104,,-69.95,-95
1330,-104,,-71.4,-95
1331,-104,,-70,-95
1332,-104,,-71.35,-95
1333,-104,,-72.35,-95
1334,-104,,-74.25,-95
1335,-104,,-70.2,-95
1336,-104,,-71.95,-95
1337,-104,,-69.65,-95
1338,-104,,-68.75,-95
1339,-104,,-66.1,-95
1340,-104,,-65.6,-95
1341,-104,,-66.25,-95
1342,-104,,-67.5,-95
1343,-104,,-68.4,-95
1344,-104,,-68.8,-95
1345,-104,,-67.3,-95
1346,-104,,-66.6,-95
1347,-104,,-67,-95
1348,-104,,-67,-95
1349,-104,,-67.1,-95
1350,-104,,-67.3,-95
1351,-104,,-69.45,-95
1352,-104,,-67.3,-95
1353,-104,,-67.2,-95
1354,-104,,-66.45,-95
1355,-104,,-66.2,-95
1356,-104,,-67.25,-95
1357,-104,,-68,-95
1358,-104,,-68,-95
1359,-104,,-68,-95
1360,-104,,-68,-95
1361,-104,,-75,-95
1362,-104,,-74.15,-95
1363,-104,,-76.25,-95
1364,-104,,-72.65,-95
1365,-104,,-68.45,-95
1366,-104,,-65.65,-95
1367,-104,,-69.9,-95
1368,-104,,-66.7,-95
1369,-104,,-70.2,-95
1370,-104,,-77.15,-95
1371,-104,,-65.2,-95
1372,-104,,-68.75,-96.1
1373,-104,,-72.4,-91.65
1374,-104,,-75.3,-91.2
1375,-104,,-78.55,-95.1
1376,-104,,-77.65,-91.6
1377,-104,,-77.85,-87.7
1378,-104,,-64.75,-94.9
1379,-104,,-74.55,-84.65
1380,-104,,-76.95,-89.1
1381,-104,,-74.05,-91.45
1382,-104,,-71.65,-94.3
1383,-104,,-73.2,-93.45
1384,-104,,-77.6,-84.85
1385,-104,,-80.45,-83.75
1386,-104,,-79.3,-80.35
1387,-104,,-80.05,-89.8
1388,-104,,-75.8,-97.4
1389,-104,,-79.4,-98
1390,-104,,-83.6,-97.4
1391,-104,,-78.1,-94.6
1392,-104,,-83,-96.2
1393,-104,,-84.2,-99
1394,-104,,-89.1,-100.3
1395,-104,,-88.4,-89.8
1396,-104,,-83,-91.8
1397,-104,,-78.1,-87.1
1398,-104,,-74.8,-90.6
1399,-104,,-76.3,-88.1
1400,-104,,-74.2,-92.9
1401,-104,,-71.8,-97.7
1402,-104,,-72.4,-93.3
1403,-104,,-74.3,-84.3
1404,-104,,-74.7,-88.1
1405,-104,,-72.4,-93.9
1406,-104,,-74.8,-91.1
1407,-104,,-77.1,-91.8
1408,-104,,-70.8,-87.2
1409,-104,,-67.6,-89.2
1410,-103.1,,-68.9,-86
1411,-101,,-60,-93.7
1412,-101,,-55.9,-102.9
1413,-101,,-59,-97.5
1414,-101,,-57.8,-88.1
1415,-101,,-68.3,-88.1
1416,-101,,-80.2,-90
1417,-101,,-85.2,-104.2
1418,-100.7,,-84.5,-105
1419,-94.9,,-79,-105
1420,-98.4,,-81.1,-105
1421,-93,,-79.2,-105
1422,-93,,-77.4,-102.3
1423,-95,,-76.7,-101.3
1424,-97,,-80.5,-98.9
1425,-96.3,,-78.2,-101.5
1426,-91.4,,-81.3,-103
1427,-96.6,,-80.7,-104
1428,-100.1,,-81.5,-105
1429,-101,,-78.9,-103.8
1430,-101,,-75.6,-101
1431,-101,,-81.9,-101
1432,-101,,-94,-101
1433,-101,,-89.1,-101
1434,-101,,-90.3,-101
1435,-101,,-89.8,-101
1436,-101,,-90.6,-101
1437,-101,,-90.4,-101
1438,-101,,-89.1,-101
1439,-101,,-90.2,-101
1440,-101,,-87.6,-101
1441,-101,,-86.9,-101
1442,-101,,-90.6,-101
1443,-101,,-82.7,-101
1444,-101,,-87.3,-101
1445,-101,,-100.1,-101
1446,-101,,-89.4,-101
1447,-101,,-85,-101
1448,-101,,-84.9,-101
1449,-101,,-87,-101
1450,-101,,-85.9,-101
1451,-101,,-88.6,-101
1452,-101,,-87.3,-101
1453,-101,,-86.7,-101
1454,-101,,-88.8,-101
1455,-101,,-89.2,-101
1456,-101,,-87.1,-101
1457,-101,,-89.8,-101
1458,-101,,-85.5,-101
1459,-100.9,,-87.4,-101
1460,-100,,-83.4,-101
1461,-100,,-82.1,-101
1462,-100,,-81.8,-101
1463,-100,,-80.7,-101
1464,-100.4,,-79.4,-101
1465,-104,,-79.7,-101
1466,-104,,-79.1,-101
1467,-100.3,,-76.3,-101
1468,-99,,-76.4,-101
1469,-99,,-76.2,-99.1
1470,-99,,-75.5,-98.9
1471,-99.2,,-79.1,-103.6
1472,-101.6,,-78.5,-105
1473,-101,,-79.4,-105
1474,-102.5,,-81.2,-105
1475,-102.6,,-78.1,-105
1476,-102,,-76.6,-105
1477,-102,,-79.2,-105
1478,-102,,-78.6,-105
1479,-102.6,,-78.9,-104
1480,-103.3,,-81.8,-101
1481,-103,,-78.7,-101
1482,-103,,-80.9,-101
1483,-103,,-82.6,-101.3
1484,-103,,-85.3,-102
1485,-103.5,,-83.4,-102
1486,-98.6,,-81.3,-102
1487,-98,,-80.9,-102
1488,-98.3,,-81.3,-102
1489,-98.7,,-84,-99.5
1490,-101.5,,-79.6,-97
1491,-102.1,,-81.2,-94.3
1492,-100,,-77.7,-94
1493,-100,,-80,-97.3
1494,-100,,-80,-104.5
1495,-100,,-81.4,-100
1496,-100,,-77.7,-100
1497,-100,,-78,-100
1498,-100,,-77.3,-100
1499,-100,,-77.4,-100
1500,-100,,-78.1,-99.3
1501,-100,,-77.4,-99
1502,-100,,-82.4,-99
1503,-100,,-79.8,-102.7
1504,-100,,-77.4,-96.2
1505,-100,,-79.7,-94.9
1506,-100,,-75.5,-97
1507,-100,,-74,-97
1508,-100,,-74,-98.5
1509,-100,,-74.6,-102
1510,-98.6,,-74.2,-102
1511,-98,,-74.9,-102
1512,-98,,-75.6,-102
1513,-98,,-74.8,-102
1514,-100.1,,-75.6,-102
1515,-101.3,,-74.3,-102
1516,-104.1,,-75.6,-102
1517,-105,,-76,-102
1518,-105,,-75.8,-102
1519,-105,,-76.5,-102
1520,-104.3,,-77.8,-102
1521,-98,,-78.6,-102
1522,-98,,-77.7,-102
1523,-98,,-78.2,-102
1524,-98,,-79.4,-102
1525,-98,,-78,-102
1526,-98,,-77.8,-102
1527,-98,,-78.1,-102
1528,-98,,-77.7,-102
1529,-98,,-77.8,-102
1530,-98,,-78.5,-102
1531,-98,,-76.9,-102
1532,-98,,-77.8,-102
1533,-98,,-78,-102
1534,-98,,-76.9,-102
1535,-98,,-74.3,-102
1536,-98,,-74,-102
1537,-98,,-76.2,-102
1538,-98,,-83.2,-100
1539,-98,,-81,-99.1
1540,-97.6,,-78.8,-101
1541,-97.5,,-81.2,-101
1542,-99,,-79.2,-101
1543,-96.7,,-80.9,-101
1544,-98.8,,-79.7,-101
1545,-102.1,,-82.2,-101
1546,-98.6,,-79.8,-101
1547,-97.5,,-77.7,-101
1548,-98,,-78.6,-101
1549,-98.3,,-77.4,-101
1550,-101,,-77.6,-101
1551,-95.3,,-79.9,-101
1552,-96.3,,-77.8,-101
1553,-97.3,,-77.1,-101
1554,-97,,-82.7,-101
1555,-99.6,,-78,-101
1556,-102.4,,-83,-101
1557,-97.1,,-79.8,-101
1558,-99.5,,-76.2,-101
1559,-98,,-78.6,-99.2
1560,-98,,-78.1,-99
1561,-98,,-81.1,-99
1562,-98,,-80.2,-99
1563,-98,,-79.8,-99
1564,-98,,-77.8,-99
1565,-98,,-77.5,-99
1566,-98,,-75.3,-99
1567,-98,,-77.2,-99
1568,-98,,-82.2,-98.3
1569,-98,,-81.2,-103.4
1570,-99.8,,-80.5,-104
1571,-102.6,,-82.3,-102.6
1572,-101.8,,-75.8,-102
1573,-100,,-76.2,-102
1574,-100.9,,-81.6,-102
1575,-102.8,,-79,-100.4
1576,-103,,-78.5,-103.3
1577,-103,,-77.7,-105
1578,-102.9,,-76.7,-105
1579,-97.6,,-82.1,-105
1580,-101.3,,-82.1,-100.9
1581,-103,,-65.7,-95.8
1582,-97.7,,-69.8,-93.5
1583,-95.8,,-76.9,-83.3
1584,-90,,-76.4,-87.6
1585,-83.4,,-72.7,-85.3
1586,-72.1,,-76.6,-89.8
1587,-82.7,,-81.8,-97
1588,-99.8,,-89.2,-98.1
1589,-102,,-97.7,-85
1590,-102,,-95.8,-91.6
1591,-101.1,,-96.5,-93.3
1592,-100.4,,-97.1,-94.6
1593,-95.8,,-98.4,-96.5
1594,-97,,-99,-84.2
1595,-97,,-99.9,-87.4
1596,-97,,-97.8,-94.1
1597,-97.7,,-96.3,-94.9
1598,-98,,-101.4,-97.6
1599,-98,,-105,-93
1600,-98,,-105,-90.6
1601,-96.65,,-98.3,-93.15
1602,-97,,-98.1,-94.25
1603,-100.85,,-95.1,-93.45
1604,-100,,-95,-85.15
1605,-100,,-95,-87
1606,-100,,-95,-83.8
1607,-100,,-95,-84.2
1608,-100,,-95,-82.8
1609,-100,,-95,-82
1610,-100,,-95,-82.8
1611,-100,,-95,-82
1612,-100,,-95,-84.4
1613,-100,,-95,-85.6
1614,-100.4,,-96.6,-81.4
1615,-80.6,,-95.2,-98.6
1616,-80,,-97.8,-100.4
1617,-92.2,,-92.4,-94.4
1618,-88,,-81.8,-96.4
1619,-75.4,,-72.2,-94.4
1620,-89,,-84.2,-94.8
1621,-87.8,,-86,-99
1622,-87.8,,-86,-99
1623,-83.6,,-87.4,-103.2
1624,-81.4,,-83.8,-105
1625,-89.4,,-83,-97
1626,-82.2,,-84,-99.8
1627,-79.4,,-76.8,-100.6
1628,-85.6,,-75.6,-80.2
1629,-98.8,,-85.2,-72.4
1630,-90.6,,-83,-68
1631,-83.4,,-86.4,-68.8
1632,-77.2,,-82.4,-78
1633,-81.6,,-86.2,-78.6
1634,-80.2,,-90.2,-77.8
1635,-81.2,,-90,-77.6
1636,-82.6,,-90.2,-79.4
1637,-81.6,,-89,-77.8
1638,-81,,-88.8,-78.2
1639,-80.2,,-88.8,-78.8
1640,-81.2,,-89.2,-79.8
1641,-81,,-88.6,-79.6
1642,-79.6,,-88.4,-79.8
1643,-82.2,,-89.2,-79
1644,-81.8,,-86.4,-80
1645,-81.6,,-87.2,-79.4
1646,-80.2,,-87.6,-79.8
1647,-79.2,,-86.8,-82
1648,-79.4,,-86.8,-82.2
1649,-80.2,,-85.8,-81.8
1650,-80.2,,-86.6,-79.8
1651,-80.2,,-89.2,-79.2
1652,-80.8,,-89.2,-78
1653,-82,,-89,-78
